Time,GeoType,GeoID,GeoRank,Geography,Percent
2017,UHF42,405,4,Ridgewood - Forest Hills,45.0
2017,UHF42,406,4,Fresh Meadows,46.0
2017,UHF42,407,4,Southwest Queens,29.0
2017,UHF42,408,4,Jamaica,35.0
2017,UHF42,409,4,Southeast Queens,44.0
2017,UHF42,410,4,Rockaways,37.0
2017,UHF42,501,4,Port Richmond,41.0
2017,UHF42,502,4,Stapleton - St. George,51.0
2017,UHF42,503,4,Willowbrook,61.0
2017,UHF42,504,4,South Beach - Tottenville,59.0
2017,Borough,1,1,Bronx,39.0
2017,Borough,2,1,Brooklyn,28.0
2017,Borough,3,1,Manhattan,26.0
2017,Borough,4,1,Queens,37.0
2017,Borough,5,1,Staten Island,56.0
2017,Citywide,1,0,New York City,38.0
2010,UHF42,101,4,Kingsbridge - Riverdale,61.9
2010,UHF42,102,4,Northeast Bronx,34.3
2010,UHF42,103,4,Fordham - Bronx Pk,38.2
2010,UHF42,104,4,Pelham - Throgs Neck,42.4
2010,UHF42,105,4,Crotona -Tremont,30.9
2010,UHF42,106,4,High Bridge - Morrisania,18.2
2010,UHF42,107,4,Hunts Point - Mott Haven,16.0
2010,UHF42,201,4,Greenpoint,12.1
2010,UHF42,202,4,Downtown - Heights - Slope,19.6
2010,UHF42,203,4,Bedford Stuyvesant - Crown Heights,23.5
2010,UHF42,204,4,East New York,27.1
2010,UHF42,205,4,Sunset Park,26.5
2010,UHF42,206,4,Borough Park,20.3
2010,UHF42,207,4,East Flatbush - Flatbush,28.2
2010,UHF42,208,4,Canarsie - Flatlands,40.3
2010,UHF42,209,4,Bensonhurst - Bay Ridge,24.7
2010,UHF42,210,4,Coney Island - Sheepshead Bay,22.7
2010,UHF42,211,4,Williamsburg - Bushwick,16.8
2010,UHF42,301,4,Washington Heights,33.0
2010,UHF42,302,4,Central Harlem - Morningside Heights,26.8
2010,UHF42,303,4,East Harlem,30.2
2010,UHF42,304,4,Upper West Side,26.7
2010,UHF42,305,4,Upper East Side,20.2
2010,UHF42,306,4,Chelsea - Clinton,7.8
2010,UHF42,307,4,Gramercy Park - Murray Hill,10.9
